Tool,Description,Link,Topic
v0,AI-powered platform for building web applications,https://v0.dev,Dev
Notion,Versatile productivity and note-taking tool,https://www.notion.so,Productivity
Hugging Face,Create interactive in-browser demos of machine learning models,https://huggingface.co,Models
Google AI Studio,Platform for building and testing AI models with Googleâ€™s Gemini,https://aistudio.google.com,Models
Goose AI,Open-source AI development platform for local and cloud deployment,https://goose.ai,Dev
OpenRouter,API for accessing multiple AI models,https://openrouter.ai,API
Cursor,AI-powered code editor for developers,https://www.cursor.com,Dev
Codeium,AI-powered code editor for developers,https://codeium.com,Dev
Replit,Online IDE for fullstack development,https://replit.com,Dev
Bolt.new,Build fullstack applications from prompts,https://bolt.new,Dev
NoteGPT,Transcribe YouTube videos into summaries and notes,https://notegpt.io,Productivity
Pictory,Create professional videos from text prompts,https://pictory.ai,Videos
InVideo AI,Turn any content or idea into videos instantly,https://ai.invideo.io,Videos
VEED,Create and edit professional videos with AI,https://www.veed.io,Videos
HeyGen,Create translate and personalize videos in minutes,https://app.heygen.com,Videos
Artisan,Automate outbound with AI-powered employees,https://artisan.ai,Employees
Fliki,Create videos with AI-driven voiceovers,https://app.fliki.ai,Videos
Hailuo AI,AI-powered video generation platform,https://hailuoai.video,Videos
DeepMind,Advanced AI research and development tools,https://deepmind.google,Dev
Captions,Generate and edit talking videos with AI,https://www.captions.ai,Videos
RunwayML,Comprehensive platform for AI video and image creation,https://app.runwayml.com,Videos
Wondershare Virbo,Create videos with AI-driven avatars,https://virbo.wondershare.com,Videos
Hypotenuse AI,All-in-one AI content platform for e-commerce brands,https://hypotenuse.ai,E-commerce
Digen AI,AI-driven video generation and editing,https://digen.ai,Videos
Higgsfield,AI video creation platform,https://higgsfield.ai,Videos
Visily,UI design software for everyone,https://www.visily.ai,UI
DeepAI,AI-powered video and image generation,https://deepai.org,Videos
Freepik Pikaso,AI image generation and editing,https://www.freepik.com/pikaso,Images
Kling AI,AI video and image creation platform,https://app.klingai.com,Videos, Images
Yuewen,Large language model for chat and content creation,https://yuewen.cn/chats,LLM
Yuewen Videos,AI video generation platform,https://yuewen.cn/videos,Videos
Wondershare Filmora,Video editing and creation suite,https://www.wondershare.com,Videos
Crayo,Generate viral-ready video clips in seconds,https://crayo.ai,Videos
VideoGen,AI-powered video generation,https://videogen.io,Videos
Jules,AI code editor in beta,https://jules.google.com,Dev
DeepSeek,Advanced large language model,https://chat.deepseek.com,LLM
Mistral,Large language model for conversational AI,https://chat.mistral.ai,LLM
Claude,Conversational AI model,https://claude.ai,LLM
NotebookLM,Create and manage AI-powered notebooks,https://notebooklm.google.com,Productivity
Perplexity,AI-powered research assistant,https://www.perplexity.ai,LLM
GitHub Copilot,AI coding assistant integrated with GitHub,https://github.com/copilot,Dev
Grok,Conversational AI and development tool,https://grok.com,LLM, Dev
Qwen,Large language model for chat and tasks,https://chat.qwen.ai,LLM
Kimi,AI conversational model,https://kimi.ai,LLM
Gamma,Create professional slides with AI,https://gamma.app,Slides
NaturalReaders,AI text-to-speech platform,https://www.naturalreaders.com,Voice
Blackbox,AI-powered coding and research tool,https://www.blackbox.ai,LLM
GenSpark,AI agent platform for task automation,https://www.genspark.ai,Agents
DeepAgent,AI agent platform for enterprise tasks,https://deepagent.abacus.ai,Agents
